Column1/Column 2 Edits					
Column 1	Column 2	* = In existence prior to 1996	Effective Date	"Deletion Date
*=no data"	"Modifier
0=not allowed
1=allowed
9=not applicable"
00102	62278		19960101	20000604	1
00102	62279		19960101	20000604	1
00102	62280		19960101	*	1
00102	62281		19960101	*	1
00102	62282		19960101	*	1
00102	62284		19960101	*	1
00102	62310		20000905	*	1
00102	62311		20000905	*	1
00102	62318		20000905	*	1
00102	62319		20000905	*	1
00102	64400		19960101	*	1
00102	64402		19960101	*	1
00102	64405		19960101	*	1
00102	64408		19960101	*	1
00102	64410		19960101	*	1
00102	64412		19960101	*	1
00102	64413		19960101	*	1
00102	64415		19960101	*	1
00102	64416		20030101	*	1
00102	64417		19960101	*	1
00102	64418		19960101	*	1
00102	64420		19960101	*	1
00102	64421		19960101	*	1
00102	64425		19960101	*	1
00102	64430		19960101	*	1
00102	64435		19960101	*	1
00102	64440		19960101	20000604	1
00102	64441		19960101	20000604	1
00102	64442		19960101	20000604	1
00102	64443		19960101	19960101	9
00102	64445		19960101	*	1
00102	64446		20030101	*	1
00102	64447		20030101	*	1
00102	64448		20030101	*	1
00102	64449		20040101	*	1
00102	64450		19960101	*	1
00102	64470		20000905	20091231	1
00102	64475		20000605	20091231	1
00102	64479		20000605	*	1
00102	64483		20000605	*	1
00102	64490		20100101	*	1
00102	64493		20100101	*	1
00102	64505		19960101	*	1
00102	64508		19960101	*	1
00102	64510		19960101	*	1
00102	64517		20040101	*	1
00102	64520		19960101	*	1
00102	64530		19960101	*	1
00102	64550		19960101	*	1
00102	64553		19960101	*	1
00102	64555		19960101	*	1
00102	64560		19960101	20111231	1
00102	64565		19960101	*	1
00102	67500		19960101	*	1
00102	76000		20100101	*	1
00102	76001		20100101	*	1
00102	76986		20030101	20061231	0
00102	76998		20070101	*	0
00102	77002		20100101	*	0
00102	80002		19960101	19980331	1
00102	80003		19960101	19980331	1
00102	80004		19960101	19980331	1
00102	80005		19960101	19980331	1
00102	80006		19960101	19980331	1
00102	80007		19960101	19980331	1
00102	80008		19960101	19980331	1
00102	80009		19960101	19980331	1
00102	80010		19960101	19980331	1
00102	80011		19960101	19980331	1
00102	80012		19960101	19980331	1
00102	80016		19960101	19980331	1
00102	80018		19960101	19980331	1
00102	80019		19960101	19980331	1
00102	80050		19960101	19980101	1
00102	80055		19960101	19970101	1
00102	80058		19960101	19960101	9
00102	80059		19960101	19960101	9
00102	80061		19960101	19960101	9
00102	80072		19960101	19960101	9
00102	80090		19960101	19960101	9
